,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
449,2006.0,Moon Called,Patricia Briggs,eng,Excellent,4.18,129150,genre fiction,0.0,1.99,497,"Amazon Digital Services,  Inc.",4752,9456.48
450,2006.0,Blue Bloods,Melissa de la Cruz,en-US,Intermediate,3.68,116687,genre fiction,421.344,3.99,497,"Amazon Digital Services,  Inc.",4752,18960.48
452,2015.0,Between the World and Me,Ta-Nehisi Coates,eng,Famous,4.4,74218,genre fiction,0.0,2.99,499,"Amazon Digital Services,  Inc.",4725,14127.750000000002
454,2009.0,The Big Short: Inside the Doomsday Machine,Michael   Lewis,en-US,Excellent,4.26,37090,fiction,729.756,6.99,502,Simon and Schuster Digital Sales Inc,4698,32839.020000000004
455,1999.0,The Girl Who Loved Tom Gordon,Stephen King,es,Intermediate,3.56,95768,nonfiction,808.056,7.74,503,"Amazon Digital Services,  Inc.",4698,36362.52
456,2011.0, A Monster Calls ,"Patrick Ness, Jim Kay, Siobhan Dowd",eng,Excellent,4.36,104579,genre fiction,1105.47,10.65,505,Random House LLC,4671,49746.15
457,2010.0,Towers of Midnight,"Robert Jordan, Brandon Sanderson",en-US,Famous,4.42,91383,fiction,206.562,1.99,505,"Amazon Digital Services,  Inc.",4671,9295.29
459,2010.0,Rework,"Jason Fried, David Heinemeier Hansson",eng,Intermediate,3.93,88626,genre fiction,310.362,2.99,509,Simon and Schuster Digital Sales Inc,4671,13966.29
460,2011.0,Attachments,Rainbow Rowell,eng,Intermediate,3.95,105414,genre fiction,102.168,0.99,511,"Amazon Digital Services,  Inc.",4644,4597.56
461,2005.0,The Twilight Saga,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",es,Intermediate,3.88,89204,genre fiction,979.368,9.49,513,Penguin Group (USA) LLC,4644,44071.56
462,2012.0,Tell the Wolves I'm Home,Carol Rifka Brunt,eng,Excellent,4.04,85582,genre fiction,0.0,1.99,514,"Amazon Digital Services,  Inc.",4617,9187.83
464,2011.0,The Unbecoming of Mara Dyer,Michelle Hodkin,eng,Excellent,4.09,83847,fiction,1127.574,10.99,516,Macmillan,4617,50740.83
465,1997.0,Three to Get Deadly,Janet Evanovich,en-US,Excellent,4.14,113400,genre fiction,665.874,6.49,517,Hachette Book Group,4617,29964.33
